session_id,scan_id,snapshot_id,snapshot_type,timestamp,candidate_id,smell_type,wmc,cbo,lcom,rfc,dit,loc,cc_max,nom,nof,cida,coa,code_churn,volatility,bug_fix_ratio,author_count,expert_score,hotspot_score,cm_score,complexity_level
f209e21b-1af8-4693-8ba9-4aed76701d86,19e278f69a9,6abd0fa7,before_refactoring,2026-05-15T01:36:11.219Z,effbba803294b49e713263e4f703bf9e,GOD_CLASS,47,18,0.6667,3,0,244,23,3,23,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.7238,0.0000,0.0000,0.6820
f209e21b-1af8-4693-8ba9-4aed76701d86,19e278f69a9,f42d3da2,before_refactoring,2026-05-15T01:36:11.219Z,91ef6459178e187765deacc269530b3e,GOD_CLASS,12,3,0.9556,11,0,65,2,10,9,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5887,0.0000,0.0000,0.1120
f209e21b-1af8-4693-8ba9-4aed76701d86,19e278f69a9,d10bd13c,before_refactoring,2026-05-15T01:36:11.220Z,acc381da9ba8e0dc260463b535d2c7b9,GOD_CLASS,7,3,1.0000,7,0,41,1,6,6,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5871,0.0000,0.0000,0.0620
f209e21b-1af8-4693-8ba9-4aed76701d86,19e278f69a9,c7645f37,before_refactoring,2026-05-15T01:36:11.220Z,73be5e3d09ed904c769e242102c3875d,GOD_CLASS,8,2,1.0000,8,0,47,1,7,7,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5834,0.0000,0.0000,0.0680
