session_id,scan_id,candidate_id,smell_type,wmca_rank,wmca_score,dcas_order,topological_level,blocking_dependency_count,dependent_count,build_risk_label,cycle_break_applied,cycle_break_reason
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,effbba803294b49e713263e4f703bf9e,GOD_CLASS,1,0.1908,1,0,0,0,SAFE,false,
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,91ef6459178e187765deacc269530b3e,GOD_CLASS,2,0.1246,2,0,0,0,SAFE,false,
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,acc381da9ba8e0dc260463b535d2c7b9,GOD_CLASS,3,0.1040,3,0,0,0,SAFE,false,
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,73be5e3d09ed904c769e242102c3875d,GOD_CLASS,4,0.1036,4,0,0,0,SAFE,false,
