session_id,scan_id,snapshot_id,snapshot_type,timestamp,candidate_id,smell_type,wmc,cbo,lcom,rfc,dit,loc,cc_max,nom,nof,cida,coa,code_churn,volatility,bug_fix_ratio,author_count,expert_score,hotspot_score,cm_score,complexity_level
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,f592617f,before_refactoring,2026-05-15T01:19:56.471Z,effbba803294b49e713263e4f703bf9e,GOD_CLASS,47,18,0.6667,3,0,244,23,3,23,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.7238,0.0000,0.0000,0.6820
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,a8a7d170,before_refactoring,2026-05-15T01:19:56.471Z,91ef6459178e187765deacc269530b3e,GOD_CLASS,12,3,0.9556,11,0,65,2,10,9,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5887,0.0000,0.0000,0.1120
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,d2aed7a7,before_refactoring,2026-05-15T01:19:56.471Z,acc381da9ba8e0dc260463b535d2c7b9,GOD_CLASS,7,3,1.0000,7,0,41,1,6,6,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5871,0.0000,0.0000,0.0620
f3eaddd2-cec6-4781-baff-876af5c37972,19e27808a07,e1113296,before_refactoring,2026-05-15T01:19:56.471Z,73be5e3d09ed904c769e242102c3875d,GOD_CLASS,8,2,1.0000,8,0,47,1,7,7,1.0000,0.0000,0.0000,0.0000,0.0000,1,0.5834,0.0000,0.0000,0.0680
